被告性別,原告性別,慰撫金金額
1,0,4000000.00 
1,1,3000000.00 
1,1,3000000.00 
1,1,2000000.00 
1,0,2000000.00 
0,0,1000000.00 
0,1,1000000.00 
0,0,1000000.00 
0,1,1000000.00 
1,1,1200000.00 
1,1,1200000.00 
1,0,1200000.00 
1,0,1200000.00 
1,0,1500000.00 
1,1,1500000.00 
0,1,3000000.00 
0,0,3000000.00 
1,0,5000000.00 
1,1,800000.00 
1,1,800000.00 
1,1,800000.00 
1,0,800000.00 
1,1,2000000.00 
1,0,2000000.00 
0,1,1200000.00 
0,0,1200000.00 
1,1,1000000.00 
1,1,1000000.00 
1,1,1000000.00 
1,0,1000000.00 
1,0,2000000.00 
1,1,1500000.00 
1,0,1500000.00 
1,0,1000000.00 
1,0,1000000.00 
1,0,1000000.00 
1,1,1800000.00 
1,0,1800000.00 
1,1,1500000.00 
1,0,1000000.00 
1,1,1000000.00 
1,0,2000000.00 
1,0,2000000.00 
1,0,2000000.00 
2,1,1500000.00 
2,1,1500000.00 
0,0,1000000.00 
0,1,1000000.00 
0,1,1000000.00 
0,0,1000000.00 
0,0,1000000.00 
1,0,1500000.00 
1,1,1500000.00 
1,0,1500000.00 
1,0,1500000.00 
1,0,3000000.00 
1,1,2000000.00 
1,0,2000000.00 
1,1,1200000.00 
1,0,1200000.00 
1,0,1200000.00 
1,0,1200000.00 
1,0,1200000.00 
1,1,1200000.00 
1,1,800000.00 
1,1,2000000.00 
1,1,2000000.00 
1,0,2000000.00 
1,0,2000000.00 
1,0,2000000.00 
1,1,1200000.00 
1,1,3500000.00 
1,0,2500000.00 
1,0,700000.00 
1,1,600000.00 
1,0,600000.00 
1,1,600000.00 
1,0,1000000.00 
1,0,1000000.00 
1,1,1000000.00 
1,0,1000000.00 
1,1,1000000.00 
1,1,1000000.00 
0,1,600000.00 
0,0,468000.00 
0,0,600000.00 
1,1,5000000.00 
1,0,5000000.00 
1,1,800000.00 
1,1,500000.00 
1,1,500000.00 
1,1,500000.00 
1,0,500000.00 
1,1,1500000.00 
1,1,1500000.00 
1,0,3288777.00 
1,0,2000000.00 
1,1,2000000.00 
1,1,3000000.00 
1,1,3000000.00 
1,1,5000000.00 
1,0,5000000.00 
1,1,2000000.00 
1,1,2000000.00 
1,1,2000000.00 
1,1,2000000.00 
1,1,2000000.00 
1,0,1000000.00 
1,0,1514500.00 
1,0,1000000.00 
1,0,3000000.00 
1,1,3500000.00 
1,0,3500000.00 
1,0,4000000.00 
1,0,4000000.00 
1,0,1500000.00 
1,1,1500000.00 
0,1,3500000.00 
0,0,3200000.00 
1,1,1200000.00 
1,0,1200000.00 
1,1,1200000.00 
0,1,1250000.00 
0,0,1250000.00 
0,0,1250000.00 
0,0,1250000.00 
1,0,2500000.00 
1,1,2500000.00 
1,1,2500000.00 
1,0,2500000.00 
1,1,2000000.00 
1,0,2000000.00 
1,0,2000000.00 
1,0,2000000.00 
