被告經濟狀況,被告較佳,被告中等,被告較差,原告經濟狀況,原告較佳,原告中等,原告較差,原被告差距,慰撫金金額
99,0,0,0,99,0,0,0,99,4000000
99,0,0,0,99,0,0,0,99,3000000
99,0,0,0,99,0,0,0,99,3000000
4,0,0,1,2,1,0,0,-2,2000000
4,0,0,1,2,1,0,0,-2,2000000
99,0,0,0,99,0,0,0,99,1000000
99,0,0,0,99,0,0,0,99,1000000
99,0,0,0,99,0,0,0,99,1000000
99,0,0,0,99,0,0,0,99,1000000
3,0,1,0,3,0,1,0,0,1200000
3,0,1,0,3,0,1,0,0,1200000
3,0,1,0,3,0,1,0,0,1200000
3,0,1,0,3,0,1,0,0,1200000
99,0,0,0,99,0,0,0,99,1500000
99,0,0,0,99,0,0,0,99,1500000
3,0,1,0,2,1,0,0,-1,3000000
3,0,1,0,2,1,0,0,-1,3000000
99,0,0,0,99,0,0,0,99,5000000
4,0,0,1,2,1,0,0,-2,800000
4,0,0,1,2,1,0,0,-2,800000
4,0,0,1,2,1,0,0,-2,800000
4,0,0,1,2,1,0,0,-2,800000
3,0,1,0,3,0,1,0,-2,2000000
3,0,1,0,3,0,1,0,-2,2000000
5,0,0,1,99,0,0,0,99,1200000
5,0,0,1,99,0,0,0,99,1200000
4,0,0,1,2,1,0,0,-2,1000000
4,0,0,1,3,0,1,0,-1,1000000
4,0,0,1,3,0,1,0,-1,1000000
4,0,0,1,3,0,1,0,-1,1000000
3,0,1,0,2,1,0,0,-1,2000000
3,0,1,0,2,1,0,0,-1,1500000
3,0,1,0,2,1,0,0,-1,1500000
4,0,0,1,2,1,0,0,-2,1000000
4,0,0,1,2,1,0,0,-2,1000000
4,0,0,1,2,1,0,0,-2,1000000
4,0,0,1,3,0,1,0,-1,1800000
4,0,0,1,3,0,1,0,-1,1800000
4,0,0,1,4,0,0,1,0,1500000
4,0,0,1,4,0,0,1,0,1000000
4,0,0,1,4,0,0,1,0,1000000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
3,0,1,0,3,0,1,0,0,1500000
3,0,1,0,3,0,1,0,0,1500000
4,0,0,1,3,0,1,0,-1,1000000
4,0,0,1,3,0,1,0,-1,1000000
4,0,0,1,3,0,1,0,-1,1000000
4,0,0,1,3,0,1,0,-1,1000000
4,0,0,1,3,0,1,0,-1,1000000
3,0,1,0,3,0,1,0,0,1500000
3,0,1,0,3,0,1,0,0,1500000
3,0,1,0,3,0,1,0,0,1500000
3,0,1,0,3,0,1,0,0,1500000
3,0,1,0,3,0,1,0,0,3000000
3,0,1,0,3,0,1,0,0,2000000
3,0,1,0,3,0,1,0,0,2000000
3,0,1,0,3,0,1,0,0,1200000
3,0,1,0,3,0,1,0,0,1200000
3,0,1,0,3,0,1,0,0,1200000
3,0,1,0,3,0,1,0,0,1200000
3,0,1,0,3,0,1,0,0,1200000
3,0,1,0,3,0,1,0,0,1200000
99,0,0,0,99,0,0,0,99,800000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
3,0,1,0,3,0,1,0,0,1200000
99,0,0,0,99,0,0,0,99,3500000
99,0,0,0,99,0,0,0,99,2500000
3,0,1,0,3,0,1,0,0,700000
3,0,1,0,3,0,1,0,0,600000
3,0,1,0,3,0,1,0,0,600000
3,0,1,0,3,0,1,0,0,600000
99,0,0,0,3,0,1,0,99,1000000
99,0,0,0,3,0,1,0,99,1000000
99,0,0,0,3,0,1,0,99,1000000
99,0,0,0,3,0,1,0,99,1000000
99,0,0,0,3,0,1,0,99,1000000
99,0,0,0,3,0,1,0,99,1000000
2,1,0,0,4,0,0,1,2,600000
2,1,0,0,4,0,0,1,2,468000
2,1,0,0,4,0,0,1,2,600000
99,0,0,0,99,0,0,0,99,5000000
99,0,0,0,99,0,0,0,99,5000000
3,0,1,0,3,0,1,0,0,800000
3,0,1,0,3,0,1,0,0,500000
3,0,1,0,3,0,1,0,0,500000
3,0,1,0,3,0,1,0,0,500000
3,0,1,0,3,0,1,0,0,500000
4,0,0,1,1,1,0,0,-3,1500000
4,0,0,1,1,1,0,0,-3,1500000
99,0,0,0,99,0,0,0,99,3288777
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
3,0,1,0,3,0,1,0,0,3000000
3,0,1,0,3,0,1,0,0,3000000
3,0,1,0,3,0,1,0,0,5000000
3,0,1,0,3,0,1,0,0,5000000
4,0,0,1,1,1,0,0,-3,2000000
4,0,0,1,1,1,0,0,-3,2000000
4,0,0,1,1,1,0,0,-3,2000000
4,0,0,1,1,1,0,0,-3,2000000
4,0,0,1,1,1,0,0,-3,2000000
99,0,0,0,99,0,0,0,99,1000000
99,0,0,0,99,0,0,0,99,1514500
99,0,0,0,99,0,0,0,99,1000000
99,0,0,0,99,0,0,0,99,3000000
99,0,0,0,99,0,0,0,99,3500000
99,0,0,0,99,0,0,0,99,3500000
99,0,0,0,99,0,0,0,99,4000000
99,0,0,0,99,0,0,0,99,4000000
99,0,0,0,99,0,0,0,99,1500000
99,0,0,0,99,0,0,0,99,1500000
99,0,0,0,99,0,0,0,99,3500000
99,0,0,0,99,0,0,0,99,3200000
99,0,0,0,99,0,0,0,99,1200000
99,0,0,0,99,0,0,0,99,1200000
99,0,0,0,99,0,0,0,99,1200000
99,0,0,0,99,0,0,0,99,1250000
99,0,0,0,99,0,0,0,99,1250000
99,0,0,0,99,0,0,0,99,1250000
99,0,0,0,99,0,0,0,99,1250000
99,0,0,0,2,1,0,0,99,2500000
99,0,0,0,2,1,0,0,99,2500000
99,0,0,0,2,1,0,0,99,2500000
99,0,0,0,2,1,0,0,99,2500000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
99,0,0,0,99,0,0,0,99,2000000
