被告交通工具,被告汽車,被告機慢車,被告職業駕駛,原告交通工具,原告汽車,原告機慢車,原告行人,慰撫金金額
4,0,0,1,6,0,0,1,"4,000,000.00"
4,0,0,1,6,0,0,1,"3,000,000.00"
4,0,0,1,6,0,0,1,"3,000,000.00"
4,0,0,1,5,0,1,0,"2,000,000.00"
4,0,0,1,5,0,1,0,"2,000,000.00"
4,0,0,1,2,0,1,0,"1,000,000.00"
4,0,0,1,2,0,1,0,"1,000,000.00"
4,0,0,1,2,0,1,0,"1,000,000.00"
4,0,0,1,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,200,000.00"
9,0,0,0,2,0,1,0,"1,200,000.00"
1,1,0,0,2,0,1,0,"1,200,000.00"
9,0,0,0,2,0,1,0,"1,200,000.00"
2,0,1,0,6,0,0,1,"1,500,000.00"
2,0,1,0,6,0,0,1,"1,500,000.00"
4,0,0,1,5,0,1,0,"3,000,000.00"
4,0,0,1,5,0,1,0,"3,000,000.00"
2,0,1,0,2,0,1,0,"5,000,000.00"
1,1,0,0,2,0,1,0,"800,000.00"
1,1,0,0,2,0,1,0,"800,000.00"
1,1,0,0,2,0,1,0,"800,000.00"
1,1,0,0,2,0,1,0,"800,000.00"
3,0,0,1,2,0,1,0,"2,000,000.00"
3,0,0,1,2,0,1,0,"2,000,000.00"
2,0,1,0,2,0,1,0,"1,200,000.00"
2,0,1,0,2,0,1,0,"1,200,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"2,000,000.00"
1,1,0,0,2,0,1,0,"1,500,000.00"
1,1,0,0,2,0,1,0,"1,500,000.00"
2,0,1,0,6,0,0,1,"1,000,000.00"
2,0,1,0,6,0,0,1,"1,000,000.00"
2,0,1,0,6,0,0,1,"1,000,000.00"
1,1,0,0,1,1,0,0,"1,800,000.00"
1,1,0,0,1,1,0,0,"1,800,000.00"
2,0,1,0,2,0,1,0,"1,500,000.00"
2,0,1,0,2,0,1,0,"1,000,000.00"
2,0,1,0,2,0,1,0,"1,000,000.00"
2,0,1,0,99,0,0,0,"2,000,000.00"
2,0,1,0,99,0,0,0,"2,000,000.00"
2,0,1,0,99,0,0,0,"2,000,000.00"
4,0,0,1,5,0,1,0,"1,500,000.00"
4,0,0,1,5,0,1,0,"1,500,000.00"
2,0,1,0,6,0,0,1,"1,000,000.00"
2,0,1,0,6,0,0,1,"1,000,000.00"
2,0,1,0,6,0,0,1,"1,000,000.00"
2,0,1,0,6,0,0,1,"1,000,000.00"
2,0,1,0,6,0,0,1,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,500,000.00"
1,1,0,0,2,0,1,0,"1,500,000.00"
1,1,0,0,2,0,1,0,"1,500,000.00"
1,1,0,0,2,0,1,0,"1,500,000.00"
2,0,1,0,2,0,1,0,"3,000,000.00"
2,0,1,0,2,0,1,0,"2,000,000.00"
2,0,1,0,2,0,1,0,"2,000,000.00"
2,0,1,0,2,0,1,0,"1,200,000.00"
2,0,1,0,2,0,1,0,"1,200,000.00"
2,0,1,0,2,0,1,0,"1,200,000.00"
2,0,1,0,2,0,1,0,"1,200,000.00"
2,0,1,0,2,0,1,0,"1,200,000.00"
2,0,1,0,2,0,1,0,"1,200,000.00"
1,1,0,0,2,0,1,0,"800,000.00"
4,0,0,1,2,0,1,0,"2,000,000.00"
4,0,0,1,2,0,1,0,"2,000,000.00"
4,0,0,1,2,0,1,0,"2,000,000.00"
4,0,0,1,2,0,1,0,"2,000,000.00"
4,0,0,1,2,0,1,0,"2,000,000.00"
1,1,0,0,6,0,0,1,"1,200,000.00"
2,0,1,0,2,0,1,0,"3,500,000.00"
2,0,1,0,2,0,1,0,"2,500,000.00"
9,0,0,0,5,0,1,0,"700,000.00"
9,0,0,0,5,0,1,0,"600,000.00"
9,0,0,0,5,0,1,0,"600,000.00"
9,0,0,0,5,0,1,0,"600,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"1,000,000.00"
1,1,0,0,2,0,1,0,"600,000.00"
1,1,0,0,2,0,1,0,"468,000.00"
1,1,0,0,2,0,1,0,"600,000.00"
4,0,0,1,2,0,1,0,"5,000,000.00"
4,0,0,1,2,0,1,0,"5,000,000.00"
4,0,0,1,2,0,1,0,"800,000.00"
4,0,0,1,2,0,1,0,"500,000.00"
4,0,0,1,2,0,1,0,"500,000.00"
4,0,0,1,2,0,1,0,"500,000.00"
4,0,0,1,2,0,1,0,"500,000.00"
2,0,1,0,6,0,0,1,"1,500,000.00"
2,0,1,0,6,0,0,1,"1,500,000.00"
1,1,0,0,1,1,0,0,"3,288,777.00"
1,1,0,0,2,0,1,0,"2,000,000.00"
1,1,0,0,2,0,1,0,"2,000,000.00"
4,0,0,1,2,0,1,0,"3,000,000.00"
4,0,0,1,2,0,1,0,"3,000,000.00"
4,0,0,1,2,0,1,0,"5,000,000.00"
4,0,0,1,2,0,1,0,"5,000,000.00"
1,1,0,0,6,0,0,1,"2,000,000.00"
1,1,0,0,6,0,0,1,"2,000,000.00"
1,1,0,0,6,0,0,1,"2,000,000.00"
1,1,0,0,6,0,0,1,"2,000,000.00"
1,1,0,0,6,0,0,1,"2,000,000.00"
2,0,1,0,7,0,0,1,"1,000,000.00"
2,0,1,0,7,0,0,1,"1,514,500.00"
2,0,1,0,7,0,0,1,"1,000,000.00"
2,0,1,0,9,0,0,0,"3,000,000.00"
1,1,0,0,2,0,1,0,"3,500,000.00"
1,1,0,0,2,0,1,0,"3,500,000.00"
7,0,0,0,2,0,1,0,"4,000,000.00"
7,0,0,0,2,0,1,0,"4,000,000.00"
1,1,0,0,2,0,1,0,"1,500,000.00"
1,1,0,0,2,0,1,0,"1,500,000.00"
1,1,0,0,2,0,1,0,"3,500,000.00"
1,1,0,0,2,0,1,0,"3,200,000.00"
4,0,0,1,2,0,1,0,"1,200,000.00"
4,0,0,1,2,0,1,0,"1,200,000.00"
4,0,0,1,2,0,1,0,"1,200,000.00"
2,0,1,0,6,0,0,1,"1,250,000.00"
2,0,1,0,6,0,0,1,"1,250,000.00"
2,0,1,0,6,0,0,1,"1,250,000.00"
2,0,1,0,6,0,0,1,"1,250,000.00"
4,0,0,1,2,0,1,0,"2,500,000.00"
4,0,0,1,2,0,1,0,"2,500,000.00"
4,0,0,1,2,0,1,0,"2,500,000.00"
4,0,0,1,2,0,1,0,"2,500,000.00"
2,0,1,0,6,0,0,1,"2,000,000.00"
2,0,1,0,6,0,0,1,"2,000,000.00"
2,0,1,0,6,0,0,1,"2,000,000.00"
2,0,1,0,6,0,0,1,"2,000,000.00"
